energy_0_1_0.05,entropy_0_1_0.05,contrast_0_1_0.05,homogeneity_0_1_0.05,correlation_0_1_0.05,mean_0_1_0.05,std_dev_0_1_0.05,energy_0_1_0.25,entropy_0_1_0.25,contrast_0_1_0.25,homogeneity_0_1_0.25,correlation_0_1_0.25,mean_0_1_0.25,std_dev_0_1_0.25,energy_0_3_0.05,entropy_0_3_0.05,contrast_0_3_0.05,homogeneity_0_3_0.05,correlation_0_3_0.05,mean_0_3_0.05,std_dev_0_3_0.05,energy_0_3_0.25,entropy_0_3_0.25,contrast_0_3_0.25,homogeneity_0_3_0.25,correlation_0_3_0.25,mean_0_3_0.25,std_dev_0_3_0.25,energy_1_1_0.05,entropy_1_1_0.05,contrast_1_1_0.05,homogeneity_1_1_0.05,correlation_1_1_0.05,mean_1_1_0.05,std_dev_1_1_0.05,energy_1_1_0.25,entropy_1_1_0.25,contrast_1_1_0.25,homogeneity_1_1_0.25,correlation_1_1_0.25,mean_1_1_0.25,std_dev_1_1_0.25,energy_1_3_0.05,entropy_1_3_0.05,contrast_1_3_0.05,homogeneity_1_3_0.05,correlation_1_3_0.05,mean_1_3_0.05,std_dev_1_3_0.05,energy_1_3_0.25,entropy_1_3_0.25,contrast_1_3_0.25,homogeneity_1_3_0.25,correlation_1_3_0.25,mean_1_3_0.25,std_dev_1_3_0.25,energy_2_1_0.05,entropy_2_1_0.05,contrast_2_1_0.05,homogeneity_2_1_0.05,correlation_2_1_0.05,mean_2_1_0.05,std_dev_2_1_0.05,energy_2_1_0.25,entropy_2_1_0.25,contrast_2_1_0.25,homogeneity_2_1_0.25,correlation_2_1_0.25,mean_2_1_0.25,std_dev_2_1_0.25,energy_2_3_0.05,entropy_2_3_0.05,contrast_2_3_0.05,homogeneity_2_3_0.05,correlation_2_3_0.05,mean_2_3_0.05,std_dev_2_3_0.05,energy_2_3_0.25,entropy_2_3_0.25,contrast_2_3_0.25,homogeneity_2_3_0.25,correlation_2_3_0.25,mean_2_3_0.25,std_dev_2_3_0.25,energy_3_1_0.05,entropy_3_1_0.05,contrast_3_1_0.05,homogeneity_3_1_0.05,correlation_3_1_0.05,mean_3_1_0.05,std_dev_3_1_0.05,energy_3_1_0.25,entropy_3_1_0.25,contrast_3_1_0.25,homogeneity_3_1_0.25,correlation_3_1_0.25,mean_3_1_0.25,std_dev_3_1_0.25,energy_3_3_0.05,entropy_3_3_0.05,contrast_3_3_0.05,homogeneity_3_3_0.05,correlation_3_3_0.05,mean_3_3_0.05,std_dev_3_3_0.05,energy_3_3_0.25,entropy_3_3_0.25,contrast_3_3_0.25,homogeneity_3_3_0.25,correlation_3_3_0.25,mean_3_3_0.25,std_dev_3_3_0.25,label
323965295,14.87401992,33.14617301,0.7519242932,0.9978748934,94.68445731,88.30773147,346468289,14.80296176,1138.72475,0.8203823293,0.6287231122,33.06155274,39.1575159,264602816,14.89094402,181.9306717,0.8256661208,0.9746716128,64.57513396,59.92717035,8039703,12.03969432,2510.200872,0.9333971761,0.3279969288,7.714131855,43.21771149,322785559,14.8741816,31.99036412,0.7526469183,0.9979486572,94.68451127,88.30044548,342958489,14.83048321,657.0562669,0.8378943577,0.717723298,31.09113356,34.11522781,265061697,14.89098563,34.25922528,0.8319854424,0.9951925923,64.45977096,59.69046867,3494269,11.88779215,1755.278715,0.9485654719,0.4696128091,6.74734268,40.68330482,323961829,14.87403697,31.88981476,0.7533505873,0.9979553854,94.6843793,88.30650699,346317856,14.80335404,637.9722835,0.8571755504,0.7920697407,33.05981262,39.16926912,265199136,14.89022538,41.9471744,0.8363851444,0.9940867921,64.2235103,59.55497933,6196555,12.03770094,514.5318458,0.9749682956,0.8637551125,7.760688358,43.45801192,324184913,14.87386663,33.04585952,0.7526758721,0.9978816973,94.68569868,88.31549909,345404228,14.79221414,1152.362632,0.82711916,0.667014297,34.22131234,41.59651447,267492558,14.89086038,250.5146833,0.8271626663,0.9661354957,65.48250948,60.81548005,17901252,12.37754656,2334.059334,0.9198253443,0.5427864193,10.72270386,50.52261963,2
334741143,14.89333537,41.66040787,0.7711537714,0.9970676026,79.61684813,84.276937,382196230,14.78174525,1651.69045,0.8264469103,0.5556004689,30.30855122,43.10608455,301618487,14.91680229,206.2404214,0.8191927858,0.9686622444,54.46614487,57.36032985,16645285,12.601761,3723.079412,0.900779519,0.3338081424,11.75121501,52.86310542,333170877,14.89356303,40.13260332,0.7717677341,0.9971745439,79.61696745,84.26802286,376946252,14.81164344,1062.571276,0.8404349158,0.6263207515,28.03823754,37.70596552,295371813,14.91775417,42.16038297,0.8244186528,0.9934894877,54.23206426,56.89861496,8606467,12.47276991,2613.556741,0.9205646789,0.4829200203,10.48975499,50.2769349,334666100,14.89339516,39.82763618,0.7726342165,0.9971964216,79.61679868,84.27414637,381934974,14.78568737,849.8830965,0.8621970945,0.7635269191,29.97099469,42.3914985,301115873,14.91610948,45.59014092,0.8288688427,0.9929543395,54.08629785,56.87731396,11796810,12.54056254,671.5944424,0.9647798537,0.8743299354,11.15099844,51.69490104,334772826,14.89315758,41.35742119,0.7720021964,0.9970894759,79.61797134,84.28485661,380505626,14.77361879,1615.665775,0.8319571319,0.6061901311,31.41097497,45.29070664,298309073,14.91561234,239.9290801,0.8212855335,0.9645727166,55.18123855,58.18720889,27604874,12.80199606,3099.402602,0.8932841841,0.5367688822,14.26715649,57.84135801,2
294865353,14.76065153,43.87417192,0.7435840496,0.9969141455,88.13154257,84.3107444,338009172,14.65540091,1665.027312,0.8051423037,0.5490816945,32.99891449,42.9665321,260270163,14.78345769,256.4576211,0.8024433053,0.9612759478,60.44304788,57.54153448,13800709,12.41412144,3913.122303,0.8950958904,0.329883672,12.29495977,54.03428975,293618585,14.76086601,42.34566214,0.744193398,0.9970209825,88.13157582,84.30127324,333898409,14.68324261,1103.967279,0.822871735,0.6142098536,30.77638495,37.82501911,255605477,14.78375705,39.27706886,0.8088516924,0.9939215349,59.99551934,56.83779527,6494680,12.26905175,2716.920076,0.9180260709,0.4776249995,10.80193421,51.0005658,294874355,14.76071796,42.00458166,0.745189209,0.9970454104,88.13125368,84.3074566,337656788,14.66093548,815.5148788,0.8484151258,0.7674668457,32.48378366,41.87776526,260160968,14.78266252,49.84145293,0.8150095476,0.9923070453,59.90794186,56.91461416,10132138,12.34702909,690.0030072,0.9637069726,0.8752921468,11.57306994,52.60226029,294938307,14.7604992,43.53145879,0.7445170584,0.9969388093,88.132467,84.31845226,336409082,14.64819899,1621.890908,0.8152942471,0.5960328154,33.95098396,44.80496382,256993828,14.78204877,248.8644425,0.8064296788,0.9632123125,61.04507075,58.15573467,19286456,12.56077125,3174.761255,0.8935157586,0.5241478617,14.19133409,57.75856361,2
127377465,13.91204223,10.19532004,0.8601657692,0.9992715353,59.37232191,83.64633617,131890664,13.86808007,413.7700667,0.8842867635,0.7853889862,19.52061705,31.04686656,104250771,13.92180019,51.83669118,0.9074924539,0.9918726806,40.19686743,56.46688243,2401664,10.90100472,1306.72001,0.9646852757,0.3443669042,4.043168923,31.56891753,127271188,13.91205245,9.997123344,0.8609679346,0.9992857043,59.37274776,83.6467912,131206758,13.87235157,331.1594859,0.8989928402,0.822161696,19.3826299,30.5130183,103942212,13.92193205,25.31222817,0.9068612977,0.9960755115,40.442305,56.78365081,2188089,10.91794699,982.6902894,0.9686955704,0.5184882319,4.134343076,31.94345027,127400390,13.91202102,9.837492454,0.8617204467,0.9992971195,59.37237012,83.64735549,131964824,13.8651998,222.3274631,0.9203255729,0.8876747956,19.64330168,31.45760584,104375982,13.92164707,19.7080315,0.9087629806,0.9969267617,40.28410208,56.62085172,2585560,10.95411434,238.3464212,0.9863136829,0.8863747416,4.260838044,32.38905029,127318499,13.91200973,10.03922018,0.8609069911,0.9992827231,59.37287693,83.6483356,131415376,13.86709448,369.3364147,0.8970414659,0.8109657713,19.60233119,31.25362543,104521019,13.92106014,48.54411408,0.9079795635,0.9925285343,40.5578285,56.99203585,2705923,10.98095104,1019.110006,0.9667873242,0.52839644,4.388990645,32.86976734,3
263187534,14.66980199,16.81469052,0.8594064284,0.9981906192,40.53836507,68.15657378,324559319,14.54899876,762.6333968,0.8776072963,0.6404367387,15.13508318,32.56255695,285128349,14.68364302,26.4618519,0.9165631185,0.9937141633,27.38791283,45.87285719,15962102,12.46761995,2162.390824,0.939412095,0.3700398159,7.077146002,41.42659612,262704111,14.66982948,16.36535435,0.8602600714,0.9982389697,40.53874429,68.15654861,321841495,14.55614242,644.1106352,0.8891506635,0.6814920772,14.92044533,31.79668325,278270889,14.68442833,11.7434801,0.9184599931,0.9972429236,27.57360639,46.14250573,13607729,12.45317289,1578.153726,0.9472063556,0.5376694802,7.019630023,41.31160337,263254970,14.66981026,15.94796443,0.8611559999,0.9982838685,40.53829863,68.15624152,324459384,14.55127924,378.9728318,0.9115426909,0.8183558633,15.05401505,32.29768249,284876153,14.68405245,8.505446509,0.9220824253,0.9979783148,27.38374846,45.85838986,14106596,12.44211216,348.3646004,0.9776363979,0.8963762158,6.91793062,40.99875483,262841177,14.66979582,16.39464672,0.8601978472,0.9982358613,40.53874759,68.15739002,322215035,14.55304683,660.9576378,0.8881779657,0.6808491291,15.03299512,32.17691221,278677601,14.68354921,14.77707296,0.9190060604,0.9965368403,27.58573916,46.1833127,14302325,12.46882417,1589.856379,0.9465048014,0.5407393861,7.124837753,41.60256064,3
258208357,14.65391442,16.6133428,0.8478912411,0.9984227247,46.96723192,72.56219526,314370967,14.54846282,769.0469583,0.8665906639,0.6528974071,17.09366526,33.27920363,251112649,14.66440825,12.67294831,0.9167491254,0.9973344829,31.66216066,48.75100513,15142346,12.33613257,2158.199399,0.9392387591,0.3729789206,7.104818416,41.48027203,257832091,14.65394971,16.12091361,0.8488532196,0.9984694611,46.96764245,72.56184123,311821593,14.55638174,646.4309816,0.8803280557,0.6916646967,16.82841893,32.37417801,246112812,14.66509402,4.575000823,0.9192229093,0.999051751,31.91156797,49.11000263,12436634,12.31351167,1557.533472,0.9475241398,0.5420660552,6.997492416,41.2352909,258230433,14.65393729,15.68407754,0.8499899212,0.9985109135,46.96713151,72.56132304,314420888,14.55268877,375.5905777,0.9057436024,0.8249956825,16.92893421,32.75627921,250779710,14.66482493,4.494437866,0.9232814746,0.9990550234,31.67046883,48.7598835,12725271,12.29652175,343.3800693,0.9775056709,0.8969042046,6.855545072,40.80607357,257776703,14.65391561,16.17324681,0.8488295124,0.9984645336,46.96765133,72.56281305,311940806,14.55239106,670.0191428,0.8793655163,0.6902672978,16.98513691,32.88536491,246453659,14.6643759,8.089598469,0.9197049982,0.9983263235,31.92734588,49.15449469,13336002,12.33634939,1579.283218,0.9463443262,0.5451154363,7.151211981,41.66086679,3
244649795,14.60389787,15.44091972,0.8529558179,0.9985637422,47.8593699,73.30862038,296619912,14.5061189,715.7884107,0.8714748385,0.6667143142,17.16832865,32.76553545,236907661,14.6136221,13.10305127,0.9194858054,0.9973016213,32.26538747,49.26848437,13186051,12.21012564,2025.195046,0.9431180784,0.3737834029,6.661937592,40.20780394,244184384,14.60392683,14.9990392,0.853948077,0.9986048419,47.85987477,73.30855813,294104056,14.51320377,601.4993499,0.8851800333,0.705877606,16.94213446,31.9736014,231941579,14.61431139,3.920115912,0.9216940234,0.9992042496,32.51588863,49.62442696,11005958,12.19292648,1469.951418,0.9505482716,0.5421671854,6.594098895,40.06218643,244561452,14.60391626,14.5835795,0.8550449211,0.9986434666,47.85939988,73.30802055,296756412,14.50976789,350.7687287,0.9099964119,0.8321896585,17.03133472,32.32527798,236743311,14.61398132,4.923868133,0.9253904233,0.9989860859,32.26981934,49.27050351,11270603,12.17321091,320.1988745,0.97897601,0.8978840265,6.442841387,39.59206971,244271888,14.60390261,15.02149406,0.8539037364,0.9986027804,47.85991114,73.30927193,294461963,14.5105447,616.3605979,0.8840910061,0.7048087256,17.04253391,32.3075804,232363009,14.61351508,9.117142829,0.9221820611,0.9981537386,32.53880411,49.68407251,11817412,12.21013118,1484.542957,0.9496486111,0.5444400369,6.699982023,40.36082232,3
303846082,14.80996055,19.68784683,0.8317829321,0.9981249122,48.1174844,72.44960245,362954915,14.70334556,765.8740618,0.8554857527,0.6547660768,17.46162733,33.30392811,318806301,14.82654773,30.62118827,0.9015491649,0.9935295101,32.5127382,48.63951054,15897236,12.57721453,2501.438187,0.9304203453,0.3578874833,8.053194834,44.13559646,303614896,14.80992844,19.21337263,0.8327134751,0.9981702299,48.11803664,72.45214453,360517637,14.70464294,668.5043153,0.8680424176,0.6965572976,17.43645344,33.18886573,315029926,14.8259331,15.5100229,0.9051059512,0.9967677388,32.74112495,48.9778608,13838703,12.58502688,1850.374019,0.9388304989,0.5325714132,8.168472258,44.48918235,304274479,14.80987909,18.76546283,0.8337741181,0.9982129495,48.11757178,72.45342885,363514547,14.69701715,404.186425,0.8938270722,0.8263612769,17.71891406,34.11690694,319992580,14.82515096,20.79119934,0.9103448773,0.9956932153,32.73043166,49.12578646,17372197,12.63298913,418.3249466,0.9727688115,0.898110665,8.507679881,45.30971633,303713037,14.80992262,19.23970294,0.8326982778,0.9981677177,48.1180069,72.4520523,360676130,14.7035918,677.2462078,0.8675578827,0.6952872398,17.48276371,33.33601162,315383602,14.82558789,18.10410204,0.9055004059,0.9962319407,32.75432668,49.00906183,14693662,12.60482109,1880.910326,0.9376394887,0.5333641838,8.325690774,44.8922543,3
215757321,14.43035442,20.33190413,0.7910262881,0.9982484868,55.64052848,76.1813916,244366888,14.33644255,790.7343803,0.8292646939,0.6586746079,19.79359175,34.03031158,214624694,14.4472033,59.71457784,0.8631229605,0.9886519703,37.68098778,51.29153833,8052574,12.0051317,2379.455246,0.9339306107,0.350417527,7.543881325,42.78930891,215550942,14.4303418,19.92172099,0.7919109273,0.9982839049,55.64119503,76.18322501,243140501,14.33974059,663.6305263,0.8428890047,0.7071921924,19.69384836,33.66017901,211768112,14.44739342,42.68193208,0.8672501904,0.9920229724,37.99878842,51.72108512,8086417,12.05872554,1852.12597,0.9395137153,0.5226262149,7.995563017,44.03658349,215975321,14.4302949,19.54786087,0.7928748071,0.9983161598,55.64069176,76.18435453,244449855,14.33045267,428.6585352,0.8706173488,0.8236220693,20.06688514,34.85560789,214768175,14.44683739,34.63061044,0.8723728375,0.9935413907,37.93876917,51.77646664,8560599,12.05822976,423.3000164,0.9740733369,0.8901320086,7.950877738,43.88509474,215623336,14.43031399,19.96103652,0.7918964613,0.9982805424,55.64110438,76.18376152,243223661,14.33623817,690.9045688,0.8410073125,0.7037598147,19.85253988,34.14495647,212461445,14.44673173,54.21039721,0.866701032,0.9899020417,38.0419342,51.80722554,8811290,12.08281338,1887.771197,0.9378658669,0.5236220246,8.178614823,44.50513533,3
264093948,14.64360821,19.89490993,0.8148703382,0.9984403289,66.69425768,79.85984237,295289227,14.57315995,643.0832373,0.8461733505,0.7085295128,22.72475195,33.21147463,256393049,14.65398072,64.07014679,0.8928797165,0.9889827823,45.17755563,53.92197987,8292938,11.90365766,1979.281245,0.9448056675,0.3705954021,6.458324249,39.64698544,263604907,14.64366877,19.39713304,0.8161015067,0.9984792695,66.6948336,79.85766702,293969864,14.58500834,502.802292,0.8647262934,0.7490304965,22.247847,31.64885222,250908421,14.65490386,20.57612272,0.8960468199,0.9964793332,45.38174915,54.05590627,6746116,11.86211286,1433.514483,0.9529686911,0.5297105457,6.238971837,39.0351192,263921151,14.64364452,19.07072084,0.8173455874,0.9985048744,66.69419976,79.85804787,295134152,14.57863643,321.4839744,0.8926736535,0.847504607,22.48061071,32.46564953,256175617,14.65453083,15.76242613,0.8994462301,0.9972728219,45.08519218,53.75644572,6905332,11.84196763,320.5115531,0.980499089,0.8922567786,6.091566059,38.56312205,263827012,14.64358759,19.56801571,0.8160239513,0.9984660224,66.69483013,79.86157041,294654908,14.57530796,564.2869897,0.862462871,0.7403926616,22.66821665,32.96503806,251732953,14.65369034,51.55969676,0.8950785813,0.9912704525,45.53472322,54.34157397,8525549,11.9568855,1532.141041,0.9485170849,0.539394707,6.836302438,40.77694713,3
275925170,14.68744812,16.14204706,0.8293898874,0.9987283715,62.86662873,79.66594117,310787550,14.62172022,582.1193923,0.8582183842,0.7212233901,21.2619383,32.30907408,260667545,14.69692125,26.83662967,0.9073773268,0.9953244828,42.43306421,53.57007987,8456956,11.94248228,1858.968832,0.948374911,0.3656275506,6.004994236,38.27119278,275486200,14.6874843,15.72939107,0.8305354811,0.9987608488,62.8672212,79.66495351,309345284,14.62966866,467.2073964,0.8748020059,0.7620511837,20.98115069,31.33076751,254940395,14.69764075,9.504996432,0.9099634722,0.9983643707,42.73619653,53.90227795,6992321,11.9200324,1357.276882,0.9555556535,0.531038556,5.913963674,38.03619374,275953505,14.68743647,15.46043717,0.8316662092,0.9987820845,62.86672658,79.66651558,310824142,14.62097537,308.8417169,0.9000136882,0.8531081586,21.2964359,32.42192712,260604254,14.69686624,13.54210189,0.9132111296,0.9976493032,42.49138696,53.66871003,7780056,11.92345959,308.3470817,0.9809485042,0.8930364083,5.901163287,37.96129374,275819267,14.68740345,15.87287374,0.8304404691,0.9987496681,62.86728747,79.66886632,309850913,14.62010845,523.1470931,0.8719781373,0.7537973805,21.37499821,32.59321323,255827995,14.69637514,36.19268821,0.9094816378,0.9938352682,42.87728782,54.17838585,9670162,12.02741288,1446.799901,0.9509182357,0.5462612254,6.549611695,39.92357556,3
244869604,14.55037959,29.78726561,0.7593368624,0.997418575,54.9839256,75.95470727,272889603,14.44117316,916.519359,0.805177302,0.6454793508,20.24648923,35.94898737,249152184,14.57063551,112.8506697,0.8265498919,0.978733837,37.48044242,51.50828906,11564870,12.35826498,2960.732579,0.9158656251,0.3470414217,9.415046108,47.61041931,244305291,14.55041967,29.21000051,0.7600083835,0.9974685352,54.98435902,75.95370791,271025173,14.44967805,769.2451989,0.8175372167,0.6826447452,19.8751664,34.81082674,245137782,14.57122999,51.39128805,0.8358506223,0.9903083589,37.56051074,51.48896765,9748856,12.33952357,2217.479596,0.9288702009,0.5071829483,9.314628571,47.42639827,244629870,14.55042948,28.62118191,0.7608455558,0.9975194712,54.98392644,75.95227663,272563219,14.44659385,451.7448021,0.8461481854,0.8177529987,19.9877335,35.2022927,248149040,14.5710425,33.65931987,0.847605364,0.9936205276,37.40766518,51.36064049,9528730,12.26078131,458.4285363,0.9731066542,0.8894118314,8.567172727,45.52264176,244358488,14.55039399,29.19976664,0.7600954801,0.9974694788,54.98447276,75.95455652,271036299,14.44760671,784.9804888,0.8194295076,0.6815705641,19.97486297,35.10545496,245608167,14.5702617,70.53194077,0.8360996716,0.9867928556,37.64897961,51.67207602,10051713,12.3182687,2124.022658,0.9308464681,0.5172936859,9.106946097,46.89975443,3
251321485,14.58295758,18.90524779,0.8123255377,0.9983464051,53.67001036,75.60372641,284275538,14.49210409,727.2140334,0.8464439276,0.6724196676,18.99277145,33.31225286,251280294,14.59893953,63.0433714,0.8815041742,0.9878851998,36.38148323,51.00696113,9255519,12.11234421,2169.220372,0.9397888683,0.3570037618,6.933779845,41.0667309,251134465,14.58293287,18.54107496,0.8132101731,0.9983783497,53.67053585,75.60585751,282697705,14.49394382,621.6216156,0.8605478318,0.7170161289,18.95560418,33.13809429,247202425,14.59875919,48.96229849,0.8829145596,0.9907467427,36.68327193,51.43383935,8935569,12.15248822,1652.253366,0.9454926781,0.531781056,7.252508998,42.00152399,251481371,14.58292267,18.16142617,0.8142146226,0.9984115357,53.6700121,75.60540725,283915793,14.48888739,381.7061059,0.8871167802,0.8324577266,19.13139789,33.74875157,251793526,14.59869248,30.58606148,0.8888120602,0.9941964473,36.55039069,51.33153595,9209371,12.13574324,376.887192,0.9771700713,0.8908776807,7.102558269,41.55405315,251024312,14.58295217,18.52370017,0.8132652653,0.9983798106,53.670438,75.60448749,282715450,14.4955652,619.6563113,0.8609662489,0.7145893389,18.89514632,32.94470762,246810362,14.59880686,44.81440034,0.8857309066,0.9915050391,36.6475467,51.35630212,8971854,12.12794749,1622.365308,0.9466433358,0.5289180487,7.074250467,41.4931763,3
86789564,13.54966201,23.33496099,0.7430120638,0.9985184582,81.17338646,88.74161374,91723186,13.50191926,572.5375773,0.816071138,0.7578479641,26.93842646,34.377665,66408086,13.56280618,162.1555539,0.8102626988,0.9777141177,55.39270122,60.31541067,1737882,10.60993211,1873.266016,0.9485467861,0.3505726528,5.891302147,37.96773361,86552323,13.54973912,22.85659926,0.7438324886,0.9985487192,81.17401972,88.73824906,90774438,13.51567043,400.3139635,0.838257557,0.8064612827,26.20739073,32.1549704,65306267,13.5627784,48.95462756,0.8189469577,0.9932294752,55.34476409,60.12670253,1079260,10.46634706,1268.144205,0.960935949,0.5015167709,5.158749851,35.65184902,86689680,13.54971985,22.63367734,0.7443852863,0.9985628713,81.17311773,88.738175,91369150,13.50997552,275.6895346,0.8616922217,0.8738140232,26.47504269,33.04734463,65294242,13.56312947,34.08761763,0.8235916061,0.9952577097,55.12742984,59.94966811,1078070,10.44279572,300.3587021,0.9850098775,0.8785148544,5.016644835,35.14969283,86722417,13.54963485,23.11451372,0.7436369341,0.9985325153,81.17387571,88.74345582,91331867,13.50396032,507.0762341,0.8318935765,0.7815538996,26.8580655,34.06343696,66340467,13.5620394,115.6625197,0.8137122328,0.984281261,55.72068491,60.65491842,1868290,10.65489992,1454.736824,0.9531854252,0.5195140421,6.185638264,38.89237361,4
89265384,13.5157278,78.52792721,0.7540942892,0.9900597942,36.66625014,62.84020864,102759087,13.28580409,1860.654739,0.7885118963,0.5457157987,18.76921582,45.25255987,108059863,13.57326852,212.6634495,0.7763822225,0.9427989213,25.52257552,43.10959692,12777856,12.35972751,6078.995139,0.8298578918,0.3389074533,19.99487097,67.80273313,88424076,13.51631983,76.28453596,0.7544350815,0.9903375805,36.66622764,62.82008236,101177895,13.30794144,1356.686141,0.7975282682,0.5558004256,16.3166756,39.07498893,107428631,13.58083408,51.00397004,0.7875568149,0.9853514545,25.06748685,41.71778937,6747899,12.18426803,4083.07736,0.8714489003,0.4873308988,16.99836248,63.10221517,88880810,13.51626152,75.20824932,0.7548540321,0.9904743155,36.66601223,62.82144576,102462040,13.30102405,839.1153278,0.8169346003,0.7434816928,16.80923175,40.44184141,107390363,13.57827803,41.42049585,0.7969518778,0.9882062415,25.05347722,41.9002864,7035979,12.15443421,907.8149289,0.9505675629,0.8821700514,16.42439843,62.0640154,89324778,13.51565625,77.44945803,0.7544171528,0.9901970416,36.66648841,62.84256945,102052664,13.28756142,1697.421275,0.7899915518,0.5688502242,18.40169432,44.36949836,107781763,13.57344476,147.7464178,0.7825285633,0.9600209391,25.53424926,42.97883993,12081938,12.37632993,4666.566409,0.8459544901,0.5031682961,20.4299915,68.5245363,4
93623649,13.57828433,48.69932959,0.7851428995,0.9940413211,36.58900562,63.91630928,107226758,13.38205573,1363.199016,0.8224316235,0.5633284766,16.39904148,39.50590374,110871397,13.62351863,149.0080687,0.8156543819,0.9607403404,25.22920497,43.56046657,7477474,12.04520647,4227.237416,0.8843233689,0.3295462572,13.28965162,56.14977145,92713020,13.57866669,47.40180512,0.7855139071,0.994197999,36.58920171,63.90483716,105685269,13.41161941,945.9173384,0.8325118554,0.609095492,14.80144921,34.78397441,109561815,13.62891232,40.91740156,0.8251177915,0.9888126349,24.99474401,42.75739197,5701710,11.9788175,3024.183878,0.9051387495,0.4945837834,12.5364114,54.70125636,93578755,13.57836849,47.09855708,0.7857854395,0.9942367832,36.58907195,63.91408335,107042767,13.38646981,723.9676304,0.8458794845,0.7567662614,16.06071717,38.58073447,110580734,13.62546828,40.97259294,0.8277902702,0.9889581851,25.03363569,43.06902663,6692627,12.01773944,724.261755,0.9595501668,0.8824156044,12.95271776,55.49821309,93958792,13.57798006,48.40798819,0.785421018,0.9940789206,36.58955571,63.92685287,106809262,13.37706502,1277.692489,0.8206663546,0.617279233,16.94025132,40.85782502,110525929,13.62184082,145.9472765,0.8155630528,0.9624887495,25.50500618,44.09954449,12660734,12.29750803,3840.768998,0.8719056582,0.5166732414,17.06123555,63.03309743,4
93837447,13.57157916,68.95362937,0.7223485862,0.9925353052,44.74318692,67.95124113,106750268,13.36760038,1765.715738,0.769117928,0.5449961838,20.55908585,44.04493914,111778923,13.62282899,179.3653977,0.7587327198,0.9576188756,30.80957244,45.99696085,8480000,12.16338844,5820.510681,0.8400110888,0.3223580358,18.50888721,65.53099504,92992027,13.5719042,67.28859442,0.7227188392,0.9927129996,44.74329144,67.93931913,105350714,13.38906596,1295.646255,0.7764717057,0.5896005219,18.84427063,39.72875536,110478926,13.62789502,52.77878529,0.7701580828,0.9870837824,30.56485206,45.19412929,6280103,12.10911605,4230.360356,0.8665335982,0.4877539293,17.67783505,64.25840657,93920800,13.57157544,66.72781171,0.7231637433,0.9927765546,44.74322336,67.9526132,106659728,13.3674984,960.5708584,0.7949895369,0.7513160127,20.51611319,43.94651005,111349230,13.62430453,50.07479799,0.776780985,0.9879288692,30.60299684,45.53958317,8338609,12.16680103,1016.23428,0.9417264449,0.8820976673,18.57773372,65.6486973,94140907,13.57122934,68.41079634,0.7227307719,0.9925972721,44.7436699,67.96594089,106314493,13.36194016,1649.533826,0.7672059626,0.6060309998,21.33857491,45.7536541,111311982,13.62103901,158.8605795,0.7612324507,0.9633004101,31.11402265,46.51500683,12932284,12.36058118,4973.991973,0.8324129071,0.5144509512,22.50763288,71.56374285,4
102040469,13.65125894,58.04341979,0.7481577627,0.9934598959,41.00070884,66.60508332,115047983,13.45602312,1491.749811,0.7953508379,0.5622767722,18.31812957,41.27952115,120603413,13.70445051,158.9248888,0.7807203428,0.9608262868,28.22192055,45.03186827,7733374,12.18630131,5048.78004,0.8625442926,0.3251948403,15.93124494,61.16968463,101549614,13.65137008,56.74918375,0.748542247,0.9936050935,41.00093571,66.60179799,113703807,13.46704823,1167.708025,0.8005658567,0.6174695747,17.48960129,39.06824014,119893554,13.70758902,53.64589335,0.790027873,0.9863932887,28.03064627,44.39248583,6125826,12.15449369,3702.993593,0.8831000048,0.4946306728,15.53821264,60.53310537,102401904,13.65100534,56.24945401,0.7489251005,0.9936641585,41.00090076,66.61627731,115316507,13.44676297,848.1656958,0.8161218766,0.7753732227,19.20353702,43.45458899,120813457,13.70396532,54.42248436,0.7973801273,0.9865084348,28.15146077,44.90680379,11228509,12.30251623,925.6271055,0.9436994269,0.8880500473,17.79635778,64.30170199,102318225,13.65087714,57.55452507,0.7484642178,0.9935179735,41.00102814,66.62046599,114702567,13.44686098,1402.526225,0.7926358948,0.6271297893,19.17832588,43.37098036,120357616,13.70281082,132.1510586,0.7849428879,0.9679971044,28.45483875,45.43135481,11748585,12.37134892,4265.491654,0.8575248039,0.518053324,19.14057337,66.52400785,4
